model,decoding_method,beam_size,problem_id,input_tokens,output_tokens,total_tokens,score,source_file,row_index
Llama,origin,15,15_1000#1,81,289,370,0,LLAMA3/origin/MATH500/15_1000.jsonl,1
Llama,origin,15,15_1000#2,144,1000,1144,0,LLAMA3/origin/MATH500/15_1000.jsonl,2
Llama,origin,15,15_1000#3,80,553,633,1,LLAMA3/origin/MATH500/15_1000.jsonl,3
Llama,origin,15,15_1000#4,45,143,188,0,LLAMA3/origin/MATH500/15_1000.jsonl,4
Llama,origin,15,15_1000#5,360,331,691,0,LLAMA3/origin/MATH500/15_1000.jsonl,5
Llama,origin,15,15_1000#6,73,127,200,0,LLAMA3/origin/MATH500/15_1000.jsonl,6
Llama,origin,15,15_1000#7,52,462,514,1,LLAMA3/origin/MATH500/15_1000.jsonl,7
Llama,origin,15,15_1000#8,99,1000,1099,0,LLAMA3/origin/MATH500/15_1000.jsonl,8
Llama,origin,15,15_1000#9,67,243,310,1,LLAMA3/origin/MATH500/15_1000.jsonl,9
Llama,origin,15,15_1000#10,174,652,826,0,LLAMA3/origin/MATH500/15_1000.jsonl,10
Llama,origin,15,15_1000#11,57,368,425,0,LLAMA3/origin/MATH500/15_1000.jsonl,11
Llama,origin,15,15_1000#12,92,1000,1092,0,LLAMA3/origin/MATH500/15_1000.jsonl,12
Llama,origin,15,15_1000#13,101,211,312,1,LLAMA3/origin/MATH500/15_1000.jsonl,13
Llama,origin,15,15_1000#14,204,173,377,1,LLAMA3/origin/MATH500/15_1000.jsonl,14
Llama,origin,15,15_1000#15,144,305,449,0,LLAMA3/origin/MATH500/15_1000.jsonl,15
Llama,origin,15,15_1000#16,211,1000,1211,0,LLAMA3/origin/MATH500/15_1000.jsonl,16
Llama,origin,15,15_1000#17,54,354,408,1,LLAMA3/origin/MATH500/15_1000.jsonl,17
Llama,origin,15,15_1000#18,240,639,879,0,LLAMA3/origin/MATH500/15_1000.jsonl,18
Llama,origin,15,15_1000#19,179,324,503,1,LLAMA3/origin/MATH500/15_1000.jsonl,19
Llama,origin,15,15_1000#20,81,481,562,1,LLAMA3/origin/MATH500/15_1000.jsonl,20
Llama,origin,15,15_1000#21,46,127,173,0,LLAMA3/origin/MATH500/15_1000.jsonl,21
Llama,origin,15,15_1000#22,62,1000,1062,0,LLAMA3/origin/MATH500/15_1000.jsonl,22
Llama,origin,15,15_1000#23,158,579,737,1,LLAMA3/origin/MATH500/15_1000.jsonl,23
Llama,origin,15,15_1000#24,61,604,665,0,LLAMA3/origin/MATH500/15_1000.jsonl,24
Llama,origin,15,15_1000#25,130,448,578,1,LLAMA3/origin/MATH500/15_1000.jsonl,25
Llama,origin,15,15_1000#26,112,1000,1112,0,LLAMA3/origin/MATH500/15_1000.jsonl,26
Llama,origin,15,15_1000#27,85,379,464,0,LLAMA3/origin/MATH500/15_1000.jsonl,27
Llama,origin,15,15_1000#28,110,219,329,0,LLAMA3/origin/MATH500/15_1000.jsonl,28
Llama,origin,15,15_1000#29,67,205,272,1,LLAMA3/origin/MATH500/15_1000.jsonl,29
Llama,origin,15,15_1000#30,110,252,362,0,LLAMA3/origin/MATH500/15_1000.jsonl,30
Llama,origin,15,15_1000#31,57,385,442,0,LLAMA3/origin/MATH500/15_1000.jsonl,31
Llama,origin,15,15_1000#32,41,157,198,0,LLAMA3/origin/MATH500/15_1000.jsonl,32
Llama,origin,15,15_1000#33,84,211,295,1,LLAMA3/origin/MATH500/15_1000.jsonl,33
Llama,origin,15,15_1000#34,78,482,560,1,LLAMA3/origin/MATH500/15_1000.jsonl,34
Llama,origin,15,15_1000#35,66,605,671,1,LLAMA3/origin/MATH500/15_1000.jsonl,35
Llama,origin,15,15_1000#36,74,162,236,1,LLAMA3/origin/MATH500/15_1000.jsonl,36
Llama,origin,15,15_1000#37,62,1000,1062,0,LLAMA3/origin/MATH500/15_1000.jsonl,37
Llama,origin,15,15_1000#38,67,249,316,0,LLAMA3/origin/MATH500/15_1000.jsonl,38
Llama,origin,15,15_1000#39,74,219,293,0,LLAMA3/origin/MATH500/15_1000.jsonl,39
Llama,origin,15,15_1000#40,55,232,287,1,LLAMA3/origin/MATH500/15_1000.jsonl,40
Llama,origin,15,15_1000#41,130,130,260,1,LLAMA3/origin/MATH500/15_1000.jsonl,41
Llama,origin,15,15_1000#42,83,318,401,0,LLAMA3/origin/MATH500/15_1000.jsonl,42
Llama,origin,15,15_1000#43,73,314,387,0,LLAMA3/origin/MATH500/15_1000.jsonl,43
Llama,origin,15,15_1000#44,107,551,658,0,LLAMA3/origin/MATH500/15_1000.jsonl,44
Llama,origin,15,15_1000#45,97,408,505,1,LLAMA3/origin/MATH500/15_1000.jsonl,45
Llama,origin,15,15_1000#46,69,177,246,0,LLAMA3/origin/MATH500/15_1000.jsonl,46
Llama,origin,15,15_1000#47,77,486,563,1,LLAMA3/origin/MATH500/15_1000.jsonl,47
Llama,origin,15,15_1000#48,84,350,434,1,LLAMA3/origin/MATH500/15_1000.jsonl,48
Llama,origin,15,15_1000#49,52,199,251,1,LLAMA3/origin/MATH500/15_1000.jsonl,49
Llama,origin,15,15_1000#50,58,217,275,1,LLAMA3/origin/MATH500/15_1000.jsonl,50
Llama,origin,15,15_1000#51,129,255,384,0,LLAMA3/origin/MATH500/15_1000.jsonl,51
Llama,origin,15,15_1000#52,55,829,884,1,LLAMA3/origin/MATH500/15_1000.jsonl,52
Llama,origin,15,15_1000#53,63,127,190,1,LLAMA3/origin/MATH500/15_1000.jsonl,53
Llama,origin,15,15_1000#54,60,75,135,1,LLAMA3/origin/MATH500/15_1000.jsonl,54
Llama,origin,15,15_1000#55,45,65,110,0,LLAMA3/origin/MATH500/15_1000.jsonl,55
Llama,origin,15,15_1000#56,83,228,311,0,LLAMA3/origin/MATH500/15_1000.jsonl,56
Llama,origin,15,15_1000#57,57,125,182,1,LLAMA3/origin/MATH500/15_1000.jsonl,57
Llama,origin,15,15_1000#58,87,548,635,0,LLAMA3/origin/MATH500/15_1000.jsonl,58
Llama,origin,15,15_1000#59,47,146,193,0,LLAMA3/origin/MATH500/15_1000.jsonl,59
Llama,origin,15,15_1000#60,79,335,414,0,LLAMA3/origin/MATH500/15_1000.jsonl,60
Llama,origin,15,15_1000#61,83,1000,1083,0,LLAMA3/origin/MATH500/15_1000.jsonl,61
Llama,origin,15,15_1000#62,102,375,477,1,LLAMA3/origin/MATH500/15_1000.jsonl,62
Llama,origin,15,15_1000#63,139,913,1052,0,LLAMA3/origin/MATH500/15_1000.jsonl,63
Llama,origin,15,15_1000#64,122,800,922,0,LLAMA3/origin/MATH500/15_1000.jsonl,64
Llama,origin,15,15_1000#65,99,886,985,0,LLAMA3/origin/MATH500/15_1000.jsonl,65
Llama,origin,15,15_1000#66,47,198,245,1,LLAMA3/origin/MATH500/15_1000.jsonl,66
Llama,origin,15,15_1000#67,71,160,231,1,LLAMA3/origin/MATH500/15_1000.jsonl,67
Llama,origin,15,15_1000#68,81,227,308,0,LLAMA3/origin/MATH500/15_1000.jsonl,68
Llama,origin,15,15_1000#69,94,1000,1094,0,LLAMA3/origin/MATH500/15_1000.jsonl,69
Llama,origin,15,15_1000#70,89,1000,1089,0,LLAMA3/origin/MATH500/15_1000.jsonl,70
Llama,origin,15,15_1000#71,53,146,199,1,LLAMA3/origin/MATH500/15_1000.jsonl,71
Llama,origin,15,15_1000#72,53,229,282,0,LLAMA3/origin/MATH500/15_1000.jsonl,72
Llama,origin,15,15_1000#73,67,228,295,1,LLAMA3/origin/MATH500/15_1000.jsonl,73
Llama,origin,15,15_1000#74,104,325,429,1,LLAMA3/origin/MATH500/15_1000.jsonl,74
Llama,origin,15,15_1000#75,60,204,264,0,LLAMA3/origin/MATH500/15_1000.jsonl,75
Llama,origin,15,15_1000#76,71,324,395,1,LLAMA3/origin/MATH500/15_1000.jsonl,76
Llama,origin,15,15_1000#77,73,171,244,1,LLAMA3/origin/MATH500/15_1000.jsonl,77
Llama,origin,15,15_1000#78,52,128,180,1,LLAMA3/origin/MATH500/15_1000.jsonl,78
Llama,origin,15,15_1000#79,102,1000,1102,0,LLAMA3/origin/MATH500/15_1000.jsonl,79
Llama,origin,15,15_1000#80,54,115,169,1,LLAMA3/origin/MATH500/15_1000.jsonl,80
Llama,origin,15,15_1000#81,75,1000,1075,0,LLAMA3/origin/MATH500/15_1000.jsonl,81
Llama,origin,15,15_1000#82,82,186,268,0,LLAMA3/origin/MATH500/15_1000.jsonl,82
Llama,origin,15,15_1000#83,120,420,540,0,LLAMA3/origin/MATH500/15_1000.jsonl,83
Llama,origin,15,15_1000#84,55,1000,1055,0,LLAMA3/origin/MATH500/15_1000.jsonl,84
Llama,origin,15,15_1000#85,86,390,476,1,LLAMA3/origin/MATH500/15_1000.jsonl,85
Llama,origin,15,15_1000#86,93,341,434,1,LLAMA3/origin/MATH500/15_1000.jsonl,86
Llama,origin,15,15_1000#87,71,105,176,0,LLAMA3/origin/MATH500/15_1000.jsonl,87
Llama,origin,15,15_1000#88,57,297,354,1,LLAMA3/origin/MATH500/15_1000.jsonl,88
Llama,origin,15,15_1000#89,120,1000,1120,0,LLAMA3/origin/MATH500/15_1000.jsonl,89
Llama,origin,15,15_1000#90,53,377,430,0,LLAMA3/origin/MATH500/15_1000.jsonl,90
Llama,origin,15,15_1000#91,74,134,208,0,LLAMA3/origin/MATH500/15_1000.jsonl,91
Llama,origin,15,15_1000#92,76,299,375,0,LLAMA3/origin/MATH500/15_1000.jsonl,92
Llama,origin,15,15_1000#93,73,464,537,0,LLAMA3/origin/MATH500/15_1000.jsonl,93
Llama,origin,15,15_1000#94,75,455,530,1,LLAMA3/origin/MATH500/15_1000.jsonl,94
Llama,origin,15,15_1000#95,375,1000,1375,0,LLAMA3/origin/MATH500/15_1000.jsonl,95
Llama,origin,15,15_1000#96,113,734,847,1,LLAMA3/origin/MATH500/15_1000.jsonl,96
Llama,origin,15,15_1000#97,137,1000,1137,0,LLAMA3/origin/MATH500/15_1000.jsonl,97
Llama,origin,15,15_1000#98,76,198,274,0,LLAMA3/origin/MATH500/15_1000.jsonl,98
Llama,origin,15,15_1000#99,51,156,207,0,LLAMA3/origin/MATH500/15_1000.jsonl,99
Llama,origin,15,15_1000#100,130,1000,1130,0,LLAMA3/origin/MATH500/15_1000.jsonl,100
Llama,origin,1,1_1000#1,81,147,228,0,LLAMA3/origin/MATH500/1_1000.jsonl,1
Llama,origin,1,1_1000#2,144,1000,1144,0,LLAMA3/origin/MATH500/1_1000.jsonl,2
Llama,origin,1,1_1000#3,80,493,573,1,LLAMA3/origin/MATH500/1_1000.jsonl,3
Llama,origin,1,1_1000#4,45,141,186,0,LLAMA3/origin/MATH500/1_1000.jsonl,4
Llama,origin,1,1_1000#5,360,224,584,0,LLAMA3/origin/MATH500/1_1000.jsonl,5
Llama,origin,1,1_1000#6,73,109,182,0,LLAMA3/origin/MATH500/1_1000.jsonl,6
Llama,origin,1,1_1000#7,52,541,593,0,LLAMA3/origin/MATH500/1_1000.jsonl,7
Llama,origin,1,1_1000#8,99,828,927,0,LLAMA3/origin/MATH500/1_1000.jsonl,8
Llama,origin,1,1_1000#9,67,205,272,0,LLAMA3/origin/MATH500/1_1000.jsonl,9
Llama,origin,1,1_1000#10,174,417,591,0,LLAMA3/origin/MATH500/1_1000.jsonl,10
Llama,origin,1,1_1000#11,57,1000,1057,0,LLAMA3/origin/MATH500/1_1000.jsonl,11
Llama,origin,1,1_1000#12,92,1000,1092,0,LLAMA3/origin/MATH500/1_1000.jsonl,12
