model,decoding_method,beam_size,num_problems,avg_input_tokens,avg_output_tokens,avg_total_tokens
Llama,origin,1,100,92.8,411.98,504.78
Llama,origin,3,100,92.8,421.83,514.63
Llama,origin,9,100,92.8,453.59,546.39
Llama,origin,15,100,92.8,440.38,533.18
Llama,sampling,,100,92.8,383.68,476.48
Llama,tree,3,100,92.8,421.8,514.6
Llama,tree,9,100,92.8,453.68,546.48
Llama,tree,15,100,92.8,440.44,533.24
Mistral,origin,1,100,88.31,434.63,522.94
Mistral,origin,3,100,88.31,437.44,525.75
Mistral,origin,6,100,88.31,450.72,539.03
Mistral,sampling,,100,88.31,383.24,471.55
Mistral,tree,3,100,88.31,434.78,523.09
Mistral,tree,6,100,88.31,448.66,536.97
PHI3.5,origin,1,100,86.92,277.25,364.17
PHI3.5,origin,3,100,86.92,289.85,376.77
PHI3.5,origin,9,100,86.92,305.44,392.36
PHI3.5,origin,15,100,86.92,302.28,389.2
PHI3.5,sampling,,100,86.92,271.6,358.52
PHI3.5,tree,3,100,86.92,290.95,377.87
PHI3.5,tree,9,100,86.92,306.74,393.66
PHI3.5,tree,15,100,86.92,302.99,389.91
