model,dataset,beam,samples,metric,origin_mean,tree_mean,margin,verdict,p_value,test,ci_lower,ci_upper
LLAMA3,HUMAN_EVAL,3,1000,mem_per_token,0.4758843794326269,0.4076571056716488,0.01986184470519475,better,2.064193187928065e-10,paired t-test,-0.0880891184661728,-0.0483654290557833
LLAMA3,HUMAN_EVAL,3,1000,tok_per_sec,4.979500922817475,12.526162001278005,0.05491224553774732,better,2.1814674926991328e-218,paired t-test,7.491748832922781,7.6015733239982755
LLAMA3,HUMAN_EVAL,3,1000,score,0.6463414634146342,0.6463414634146342,48561.66620364741,no_sig,0.4795001221869533,McNemar test,367.42176531509153,97490.7541726099
LLAMA3,HUMAN_EVAL,15,1000,mem_per_token,3.8212311730397657,0.9239814485619856,0.04329989933682876,better,1.0994575946318094e-167,paired t-test,-2.9405496238146083,-2.8539498251409507
LLAMA3,HUMAN_EVAL,15,1000,tok_per_sec,4.038392604393474,11.226859528517531,0.15186734561218973,better,1.6638298244138786e-143,paired t-test,7.036599578511866,7.340334269736245
LLAMA3,HUMAN_EVAL,15,1000,score,0.6463414634146342,0.6463414634146342,,no_sig,1.0,McNemar test,,
LLAMA3,HUMAN_EVAL,1,1000,mem_per_token,-0.0892274227392776,,,n/a,,paired t-test,,
LLAMA3,HUMAN_EVAL,1,1000,tok_per_sec,5.612726224727426,,,n/a,,paired t-test,,
LLAMA3,HUMAN_EVAL,1,1000,score,0.6036585365853658,,,n/a,,paired t-test,,
LLAMA3,HUMAN_EVAL,9,1000,mem_per_token,2.1415376181448673,0.6786703737122122,0.030807666213882867,better,1.0027055664455517e-143,paired t-test,-1.4936749106465372,-1.4320595782187715
LLAMA3,HUMAN_EVAL,9,1000,tok_per_sec,4.413695450161608,11.807314081617156,0.09821848294627333,better,5.8844364129318886e-176,paired t-test,7.295400148509271,7.491837114401818
LLAMA3,HUMAN_EVAL,9,1000,score,0.6585365853658537,0.6524390243902439,181172.00325666933,no_sig,1.0,McNemar test,395.9207278125824,362739.9272411512
LLAMA3,CNN,3,1000,mem_per_token,0.8493059642191554,0.3397238521370431,0.004268175281590625,better,3.697482974440494e-138,paired t-test,-0.5138502873637028,-0.5053139368005215
LLAMA3,CNN,3,1000,tok_per_sec,4.4524359040238615,10.961583471148646,0.1288013820259879,better,2.292692703944099e-101,paired t-test,6.380346185098797,6.637948949150773
LLAMA3,CNN,3,1000,score,0.20526811029,0.2046622861848422,0.0027286597821323,no_sig,0.6605057745600679,paired t-test,-0.0033344838872901,0.0021228356769745
LLAMA3,CNN,1,1000,mem_per_token,0.3174838592602933,,,n/a,,paired t-test,,
LLAMA3,CNN,1,1000,tok_per_sec,5.317202830082927,,,n/a,,paired t-test,,
LLAMA3,CNN,1,1000,score,0.2014998458010466,,,n/a,,paired t-test,,
LLAMA3,CNN,9,1000,mem_per_token,2.446780973984861,0.426712575760451,0.01362260817306682,better,1.827429713403365e-147,paired t-test,-2.033691006397477,-2.0064457900513433
LLAMA3,CNN,9,1000,tok_per_sec,3.685461874776616,10.022483541825876,0.17954732455124756,better,3.7787896256005895e-86,paired t-test,6.157474342498013,6.516568991600508
LLAMA3,CNN,9,1000,score,0.2042441462285242,0.2040195639449828,0.0028474967843560997,no_sig,0.8759612851487206,paired t-test,-0.0030720790678975,0.0026229145008147
LLAMA3_70B,HUMAN_EVAL,3,1000,mem_per_token,1.132204580590774,0.4478567094261715,0.028348117100828407,better,1.2549504579640554e-97,paired t-test,-0.7126959882654309,-0.6559997540637741
LLAMA3_70B,HUMAN_EVAL,3,1000,tok_per_sec,3.855174064698413,4.1097489498421345,0.021720116034451564,better,2.180337544998005e-53,paired t-test,0.2328547691092694,0.2762950011781725
LLAMA3_70B,HUMAN_EVAL,3,1000,score,0.774390243902439,0.774390243902439,3948.32586265917,no_sig,0.6170750774519739,McNemar test,148.69331965414693,8045.345044972487
LLAMA3_70B,HUMAN_EVAL,1,1000,mem_per_token,0.331440672025764,,,n/a,,paired t-test,,
LLAMA3_70B,HUMAN_EVAL,1,1000,tok_per_sec,4.166026231880906,,,n/a,,paired t-test,,
