model,dataset,beam,samples,mode,metric,origin_mean,tree_mean,margin,verdict,p_value,test,ci_lower,ci_upper,is_topk,prefix_used
LLAMA3,MATH500,sample,,topk,mem_per_token,0.2861643385719103,,0.005990413828279695,n/a,,n/a,0.2801739247436306,0.29215475240019,True,sample
LLAMA3,MATH500,sample,,topk,tok_per_sec,14.083711683216068,,0.04657141741402615,n/a,,n/a,14.037140265802044,14.130283100630097,True,sample
LLAMA3,MATH500,sample,,topk,score,0.23,,0.0839229688209743,n/a,,n/a,0.1460770311790257,0.3139229688209743,True,sample
LLAMA3,MATH500,sample,,topk,input_kv_memory,32181.670287360004,,3.1679836096354848,n/a,,n/a,32178.50230375037,32184.83827096964,True,sample
PHI35,MATH500,sample,,topk,mem_per_token,0.8122271994698299,,0.0107241569214932,n/a,,n/a,0.8015030425483367,0.8229513563913231,True,sample
PHI35,MATH500,sample,,topk,tok_per_sec,12.363076581564233,,0.04756535287528685,n/a,,n/a,12.315511228688944,12.410641934439518,True,sample
PHI35,MATH500,sample,,topk,score,0.41,,0.09808204052531286,n/a,,n/a,0.3119179594746871,0.5080820405253128,True,sample
PHI35,MATH500,sample,,topk,input_kv_memory,15459.334906880002,,20.23261183023169,n/a,,n/a,15439.102295049772,15479.567518710235,True,sample
PHI35,HUMAN_EVAL,sample,,topk,mem_per_token,0.5117877577068118,,0.013833436549648442,n/a,,n/a,0.4979543211571635,0.5256211942564604,True,sample
PHI35,HUMAN_EVAL,sample,,topk,tok_per_sec,16.568965585062465,,0.02743461429179206,n/a,,n/a,16.54153097077067,16.596400199354253,True,sample
PHI35,HUMAN_EVAL,sample,,topk,score,0.6402439024390244,,0.07422796476069116,n/a,,n/a,0.5660159376783332,0.7144718671997156,True,sample
PHI35,HUMAN_EVAL,sample,,topk,input_kv_memory,7797.099164097562,,8.988256906893184,n/a,,n/a,7788.110907190669,7806.087421004456,True,sample
