model,dataset,beam,avg_ratio
LLAMA3,CNN,3,0.6148598361612136
LLAMA3,CNN,9,0.8418157543056664
LLAMA3,HUMAN_EVAL,3,0.3307915172152999
LLAMA3,HUMAN_EVAL,15,0.7879590655606349
LLAMA3,HUMAN_EVAL,9,0.7260790693896514
LLAMA3_70B,HUMAN_EVAL,3,0.5446027544746096
MISTRAL,CNN,3,0.6019091096203255
MISTRAL,CNN,6,0.7520379286113369
MISTRAL,HUMAN_EVAL,3,0.9473044834849355
MISTRAL,HUMAN_EVAL,6,0.9352788680461813
PHI35,CNN,3,0.6144467580347472
PHI35,CNN,9,0.8618317493813015
PHI35,GSM8K,3,0.5063539831890437
PHI35,GSM8K,15,0.7731640419357461
PHI35,GSM8K,9,0.7263754343567002
PHI35,HUMAN_EVAL,3,0.4879739182130831
PHI35,HUMAN_EVAL,15,0.7842506154951776
PHI35,HUMAN_EVAL,9,0.698224473917833
PHI35,WMT,3,0.5281493205179322
PHI35,WMT,15,0.7298567082242021
PHI35,WMT,9,0.6751625033897991
