total_saved,gc_saved,trie_atten_saved,time_took
1719,169,1550,"[1751542997.5075111, 1751542998.054878, 1751542998.09269, 1751542998.2568314, 1751542998.351244, 1751542998.4456315, 1751542998.5364783, 1751542998.6273172, 1751542998.7185755, 1751542998.8104224, 1751542998.90054, 1751542999.0864518, 1751542999.173294, 1751542999.2643359, 1751542999.3546076, 1751542999.4445739, 1751542999.535397, 1751542999.6264424, 1751542999.7166514, 1751542999.8093104, 1751542999.8993802, 1751542999.9904563, 1751543000.0806699, 1751543000.1709325, 1751543000.2652664, 1751543000.3611255, 1751543000.4550014, 1751543000.5459585, 1751543000.6364696, 1751543000.728691, 1751543000.8187928, 1751543000.910754, 1751543001.0010836, 1751543001.0929492, 1751543001.1829355, 1751543001.273837, 1751543001.365584, 1751543001.4588623, 1751543001.5538766, 1751543001.6488843, 1751543001.7426627, 1751543001.8384717, 1751543001.9335396, 1751543002.0290666, 1751543002.124553, 1751543002.2211452, 1751543002.31702, 1751543002.4115224, 1751543002.507074, 1751543002.6066027, 1751543002.7079165, 1751543002.8085365, 1751543002.90928, 1751543003.0096395, 1751543003.1071203, 1751543003.203861, 1751543003.30577, 1751543003.4059987, 1751543003.5049736]"
1471,89,1382,"[1751543003.89962, 1751543004.0122836, 1751543004.0134869, 1751543004.2268856, 1751543004.3167386, 1751543004.4094677, 1751543004.4997807, 1751543004.5894594, 1751543004.6766849, 1751543004.760821, 1751543004.851726, 1751543004.9433837, 1751543005.0347846, 1751543005.1264596, 1751543005.2164593, 1751543005.3059657, 1751543005.398756, 1751543005.4895978, 1751543005.5806198, 1751543005.6714354, 1751543005.7625992, 1751543005.8543859, 1751543005.9438577, 1751543006.0355358, 1751543006.1265962, 1751543006.2172816, 1751543006.307762, 1751543006.3980684, 1751543006.4884095, 1751543006.579726, 1751543006.668952, 1751543006.7599974, 1751543006.852158, 1751543006.94378, 1751543007.0343094, 1751543007.1326694, 1751543007.230671]"
999,59,940,"[1751543007.587154, 1751543007.6840827, 1751543007.6852925, 1751543007.8628721, 1751543007.9528964, 1751543008.0442507, 1751543008.133516, 1751543008.2251823]"
1607,214,1393,"[1751543008.6071594, 1751543008.720178, 1751543008.721385, 1751543008.9151523, 1751543009.0038664, 1751543009.0947697, 1751543009.1852975, 1751543009.2768636, 1751543009.367402, 1751543009.4588563, 1751543009.547813, 1751543009.639986, 1751543009.7302299, 1751543009.8175817, 1751543009.9022021, 1751543009.989096, 1751543010.0835915, 1751543010.1763945, 1751543010.267865, 1751543010.3636382, 1751543010.4508538, 1751543010.5422912, 1751543010.6314614, 1751543010.7229443, 1751543010.8147562, 1751543010.903431, 1751543010.992534, 1751543011.0815773, 1751543011.1751504, 1751543011.2692132, 1751543011.3606143, 1751543011.4558475, 1751543011.550443, 1751543011.6430285, 1751543011.7336, 1751543011.8261156, 1751543011.916277, 1751543012.0065095, 1751543012.0994442, 1751543012.1944616, 1751543012.2897792, 1751543012.3834004, 1751543012.4780946, 1751543012.5744977, 1751543012.669937, 1751543012.7641768, 1751543012.8602314, 1751543012.9531329, 1751543013.0482728, 1751543013.1445723]"
1567,237,1330,"[1751543013.5286033, 1751543013.6415951, 1751543013.6427999, 1751543013.8410907, 1751543013.9310465, 1751543014.0246017, 1751543014.1137397, 1751543014.2027614, 1751543014.2954097, 1751543014.3877254, 1751543014.4788518, 1751543014.570303, 1751543014.6612782, 1751543014.7524347, 1751543014.8427353, 1751543014.933711, 1751543015.0244496, 1751543015.114541, 1751543015.2067156, 1751543015.2971268, 1751543015.3868601, 1751543015.477711, 1751543015.5701373, 1751543015.6657875, 1751543015.7650976, 1751543015.854142, 1751543015.9444597, 1751543016.0354893, 1751543016.1251366, 1751543016.2176547, 1751543016.3072245, 1751543016.3983822, 1751543016.4900718, 1751543016.5857074, 1751543016.678467, 1751543016.7729566, 1751543016.8668478, 1751543016.9614325, 1751543017.0558085, 1751543017.1473243, 1751543017.242278, 1751543017.337413, 1751543017.4304945, 1751543017.5275078, 1751543017.6273794, 1751543017.7248533, 1751543017.8199894]"
1471,223,1248,"[1751543018.2006686, 1751543018.2956321, 1751543018.2972584, 1751543018.4560301, 1751543018.5446832, 1751543018.6314518, 1751543018.7222588, 1751543018.8146245, 1751543018.9062028, 1751543018.997856, 1751543019.087428, 1751543019.179835, 1751543019.2703798, 1751543019.3621066, 1751543019.4522789, 1751543019.5442934, 1751543019.6346648, 1751543019.7254071, 1751543019.8160844, 1751543019.9062383, 1751543019.9974003, 1751543020.0891018, 1751543020.178304, 1751543020.2711604, 1751543020.3623843, 1751543020.4534175, 1751543020.5430903, 1751543020.6345434, 1751543020.7445612, 1751543020.8363879, 1751543020.9265318, 1751543021.0182216, 1751543021.1092017, 1751543021.1998715, 1751543021.290788, 1751543021.381848, 1751543021.4738517, 1751543021.56539, 1751543021.658153, 1751543021.753629, 1751543021.8472378, 1751543021.9414868, 1751543022.0362883, 1751543022.1369627, 1751543022.2319322, 1751543022.327238, 1751543022.4224274, 1751543022.520664, 1751543022.6163397, 1751543022.715041, 1751543022.8127055, 1751543022.9092765, 1751543023.006468, 1751543023.1001077, 1751543023.196372, 1751543023.2947457, 1751543023.3927295, 1751543023.4935076, 1751543023.5957038, 1751543023.695995]"
1919,482,1437,"[1751543024.0791206, 1751543024.1890962, 1751543024.1897242, 1751543024.385319, 1751543024.4750109, 1751543024.567499, 1751543024.6587927, 1751543024.7487411, 1751543024.8404288, 1751543024.9293177, 1751543025.0185862, 1751543025.1119523, 1751543025.2040305, 1751543025.2952306, 1751543025.3849134, 1751543025.4771872, 1751543025.5682325, 1751543025.6565397, 1751543025.7492125, 1751543025.8420615, 1751543025.9334629, 1751543026.0251138, 1751543026.1152062, 1751543026.2062976, 1751543026.2948093, 1751543026.3863964, 1751543026.4793754, 1751543026.5697618, 1751543026.6608121, 1751543026.7517996, 1751543026.8428223, 1751543026.9334514, 1751543027.0245154, 1751543027.116247, 1751543027.2144976, 1751543027.307632, 1751543027.4034464, 1751543027.4993656, 1751543027.5989642, 1751543027.6940594, 1751543027.787641, 1751543027.882652, 1751543027.97382, 1751543028.0654907, 1751543028.160665, 1751543028.2561958, 1751543028.3498013, 1751543028.4457283, 1751543028.542257, 1751543028.6391418, 1751543028.7384038, 1751543028.8342915, 1751543028.9318874, 1751543029.0335846, 1751543029.1334271, 1751543029.2305274, 1751543029.327326, 1751543029.4274032, 1751543029.528395, 1751543029.628551, 1751543029.730098, 1751543029.8301084, 1751543029.931574, 1751543030.033232, 1751543030.134464, 1751543030.2370222, 1751543030.3484251, 1751543030.447433, 1751543030.5492647, 1751543030.6504936, 1751543030.7525878, 1751543030.8520236, 1751543030.9543648, 1751543031.055818, 1751543031.1564162, 1751543031.2559383, 1751543031.3583078, 1751543031.4616997, 1751543031.5622, 1751543031.6634138, 1751543031.7650132, 1751543031.8675754, 1751543031.9662883, 1751543032.0700188, 1751543032.17077, 1751543032.2730355, 1751543032.376264, 1751543032.4812298, 1751543032.5862613, 1751543032.6906254, 1751543032.795204, 1751543032.8965864, 1751543032.9999256, 1751543033.1046379, 1751543033.2069926, 1751543033.3095572]"
1303,161,1142,"[1751543033.6994681, 1751543033.8030643, 1751543033.8042638, 1751543033.9551861, 1751543034.0442605, 1751543034.1360278, 1751543034.2249715, 1751543034.3194087, 1751543034.4108849, 1751543034.501481, 1751543034.5926738, 1751543034.683469, 1751543034.7746835, 1751543034.8641636, 1751543034.9543107, 1751543035.0451336, 1751543035.1370862, 1751543035.2275827, 1751543035.3181841, 1751543035.4087217, 1751543035.5003932, 1751543035.5921276, 1751543035.6813707, 1751543035.7731183, 1751543035.8634312, 1751543035.9545474, 1751543036.046563, 1751543036.1396651, 1751543036.2343986, 1751543036.3278224, 1751543036.4186528, 1751543036.5109866, 1751543036.6026785, 1751543036.6949925, 1751543036.790605, 1751543036.8838875, 1751543036.9826238, 1751543037.0761905]"
1559,209,1350,"[1751543037.458089, 1751543037.5703087, 1751543037.5713372, 1751543037.7639647, 1751543037.8518085, 1751543037.9421577, 1751543038.03355, 1751543038.1244051, 1751543038.214467, 1751543038.3065114, 1751543038.3955112, 1751543038.48534, 1751543038.5770028, 1751543038.6692169, 1751543038.7603776, 1751543038.851847, 1751543038.9432747, 1751543039.0337222, 1751543039.1237226, 1751543039.214704, 1751543039.306088, 1751543039.3988504, 1751543039.4889038, 1751543039.5799737, 1751543039.6701784, 1751543039.7638555, 1751543039.854651, 1751543039.9458709, 1751543040.040933, 1751543040.1346312, 1751543040.226301, 1751543040.319616, 1751543040.4146318, 1751543040.5085204, 1751543040.6003966, 1751543040.6885586, 1751543040.78108, 1751543040.87517, 1751543040.9697165, 1751543041.0659354, 1751543041.1627939, 1751543041.2590282, 1751543041.354035, 1751543041.464624, 1751543041.5580442, 1751543041.6526914, 1751543041.7471886, 1751543041.8448915, 1751543041.9407818, 1751543042.0405328, 1751543042.137536, 1751543042.2352123, 1751543042.333465]"
1375,122,1253,"[1751543042.7244732, 1751543042.839224, 1751543042.8404293, 1751543043.0420516, 1751543043.131862, 1751543043.223773, 1751543043.3133564, 1751543043.4058619, 1751543043.494911, 1751543043.5859404, 1751543043.6775527, 1751543043.7679024, 1751543043.8589396, 1751543043.9505038, 1751543044.038957, 1751543044.1287432, 1751543044.2208853, 1751543044.3123918, 1751543044.405341, 1751543044.4960687, 1751543044.5859776, 1751543044.677862, 1751543044.7689924, 1751543044.8607852, 1751543044.950596, 1751543045.0415657, 1751543045.13262, 1751543045.2236118, 1751543045.3144252, 1751543045.4064806, 1751543045.4991152, 1751543045.59346, 1751543045.696252, 1751543045.7911732, 1751543045.8870285, 1751543045.9872768, 1751543046.0826318, 1751543046.1727195, 1751543046.2660658, 1751543046.3628979]"
