total_saved,gc_saved,trie_atten_saved,time_took
1719,472,1247,"[1751553344.6841683, 1751553345.2384534, 1751553345.278524, 1751553345.4475195, 1751553345.5421276, 1751553345.6347003, 1751553345.7247624, 1751553345.8146992, 1751553345.9057217, 1751553345.996219, 1751553346.0869389, 1751553346.179306, 1751553346.2703428, 1751553346.361047, 1751553346.4521656, 1751553346.5438576, 1751553346.6329265, 1751553346.7212582, 1751553346.8136525, 1751553346.907754, 1751553346.9980707, 1751553347.0892086, 1751553347.1806228, 1751553347.2717838, 1751553347.3645627, 1751553347.4551818, 1751553347.5459156, 1751553347.637024, 1751553347.7268, 1751553347.8189983, 1751553347.9087286, 1751553347.9995456, 1751553348.0906785, 1751553348.1819844, 1751553348.2736573, 1751553348.364, 1751553348.4552777, 1751553348.5450623, 1751553348.6344078, 1751553348.724874, 1751553348.8148289, 1751553348.9073691, 1751553349.000791, 1751553349.0966668, 1751553349.191365, 1751553349.282842, 1751553349.3769577, 1751553349.4675202, 1751553349.5628145, 1751553349.6616287, 1751553349.7575808, 1751553349.8545995, 1751553349.9520326, 1751553350.0465338, 1751553350.1401906, 1751553350.2385683, 1751553350.3503816, 1751553350.451533, 1751553350.5531247]"
1471,296,1175,"[1751553350.9707804, 1751553351.0799286, 1751553351.0805871, 1751553351.2846072, 1751553351.3713312, 1751553351.4629514, 1751553351.5514584, 1751553351.6389508, 1751553351.725744, 1751553351.8154945, 1751553351.9059474, 1751553351.9971945, 1751553352.0876148, 1751553352.1792645, 1751553352.2683806, 1751553352.3612983, 1751553352.4532256, 1751553352.544253, 1751553352.6352828, 1751553352.7269137, 1751553352.8177526, 1751553352.9096415, 1751553353.0007374, 1751553353.0913324, 1751553353.1818593, 1751553353.2724795, 1751553353.3639636, 1751553353.4563727, 1751553353.546052, 1751553353.6368296, 1751553353.7276363, 1751553353.8191497, 1751553353.909598, 1751553354.0014462, 1751553354.09099, 1751553354.1830807, 1751553354.273455]"
999,64,935,"[1751553354.6443868, 1751553354.7391696, 1751553354.7401123, 1751553354.9173667, 1751553355.0090735, 1751553355.1004176, 1751553355.1881163, 1751553355.273733]"
1607,400,1207,"[1751553355.6579728, 1751553355.7698166, 1751553355.7710078, 1751553355.9724586, 1751553356.0596282, 1751553356.152249, 1751553356.2409372, 1751553356.3333113, 1751553356.4244275, 1751553356.5168545, 1751553356.6065934, 1751553356.6983144, 1751553356.789343, 1751553356.88011, 1751553356.9682124, 1751553357.0594277, 1751553357.152479, 1751553357.244192, 1751553357.3342388, 1751553357.4258094, 1751553357.5168998, 1751553357.607395, 1751553357.699063, 1751553357.7908278, 1751553357.8809488, 1751553357.9728932, 1751553358.062708, 1751553358.1540294, 1751553358.244528, 1751553358.3354, 1751553358.4275672, 1751553358.5184555, 1751553358.6079388, 1751553358.6987426, 1751553358.7894018, 1751553358.8817167, 1751553358.9713886, 1751553359.0593007, 1751553359.1530166, 1751553359.2447994, 1751553359.3385582, 1751553359.4327695, 1751553359.5260441, 1751553359.619234, 1751553359.7131257, 1751553359.8097892, 1751553359.9041324, 1751553359.9991071, 1751553360.0947812, 1751553360.1916773]"
1567,376,1191,"[1751553360.6070411, 1751553360.7174115, 1751553360.718595, 1751553360.9194257, 1751553361.0078635, 1751553361.1015463, 1751553361.1900651, 1751553361.2771742, 1751553361.3641303, 1751553361.45505, 1751553361.544877, 1751553361.636027, 1751553361.7267497, 1751553361.8182032, 1751553361.9090095, 1751553361.9985561, 1751553362.0893226, 1751553362.1765568, 1751553362.264744, 1751553362.3536768, 1751553362.4425685, 1751553362.5346224, 1751553362.6253946, 1751553362.7154353, 1751553362.807189, 1751553362.8994083, 1751553362.9882667, 1751553363.0805795, 1751553363.1707237, 1751553363.262249, 1751553363.3541377, 1751553363.4446528, 1751553363.5350745, 1751553363.626529, 1751553363.716289, 1751553363.8091643, 1751553363.8974435, 1751553363.9891036, 1751553364.0795655, 1751553364.171197, 1751553364.2633095, 1751553364.3556535, 1751553364.4501543, 1751553364.5440822, 1751553364.6342888, 1751553364.7274582, 1751553364.8225632]"
1471,480,991,"[1751553365.202379, 1751553365.299514, 1751553365.3005166, 1751553365.4799283, 1751553365.5692642, 1751553365.6606302, 1751553365.7645323, 1751553365.8544981, 1751553365.9464157, 1751553366.0369747, 1751553366.1277983, 1751553366.2170603, 1751553366.309481, 1751553366.4010623, 1751553366.4916818, 1751553366.5832224, 1751553366.673866, 1751553366.7629561, 1751553366.8549013, 1751553366.944763, 1751553367.035833, 1751553367.127255, 1751553367.2209253, 1751553367.3103955, 1751553367.4018383, 1751553367.4935858, 1751553367.5816805, 1751553367.6734653, 1751553367.7646961, 1751553367.8551395, 1751553367.9470015, 1751553368.0370357, 1751553368.1280434, 1751553368.221206, 1751553368.3110452, 1751553368.4035916, 1751553368.4943135, 1751553368.5835118, 1751553368.675006, 1751553368.7661293, 1751553368.8584337, 1751553368.9520547, 1751553369.0463011, 1751553369.139968, 1751553369.2346306, 1751553369.3306532, 1751553369.422637, 1751553369.517709, 1751553369.611389, 1751553369.7053962, 1751553369.8011868, 1751553369.8959754, 1751553369.9970229, 1751553370.0922325, 1751553370.188868, 1751553370.2864344, 1751553370.3823402, 1751553370.4813507, 1751553370.5806978, 1751553370.6792696]"
1919,768,1151,"[1751553371.0629559, 1751553371.1739283, 1751553371.1747365, 1751553371.3785634, 1751553371.4709477, 1751553371.564233, 1751553371.6552372, 1751553371.745338, 1751553371.8348713, 1751553371.9268122, 1751553372.015766, 1751553372.1040943, 1751553372.1927357, 1751553372.2809021, 1751553372.3712244, 1751553372.462258, 1751553372.5538082, 1751553372.6415777, 1751553372.7338443, 1751553372.82622, 1751553372.917235, 1751553373.0084426, 1751553373.0983024, 1751553373.1902099, 1751553373.2809253, 1751553373.3734024, 1751553373.4635267, 1751553373.55421, 1751553373.6449783, 1751553373.7359836, 1751553373.8299308, 1751553373.9217095, 1751553374.014918, 1751553374.1095548, 1751553374.201817, 1751553374.2949328, 1751553374.3892322, 1751553374.482823, 1751553374.5721657, 1751553374.6829436, 1751553374.777328, 1751553374.8697212, 1751553374.9653213, 1751553375.0610194, 1751553375.157155, 1751553375.2596037, 1751553375.3526733, 1751553375.445654, 1751553375.5417864, 1751553375.6362844, 1751553375.7345886, 1751553375.8309803, 1751553375.9271193, 1751553376.0246205, 1751553376.1194582, 1751553376.2205606, 1751553376.3214135, 1751553376.419214, 1751553376.5162957, 1751553376.6166856, 1751553376.715587, 1751553376.8171875, 1751553376.9181793, 1751553377.0201972, 1751553377.1210458, 1751553377.2155101, 1751553377.3140724, 1751553377.4133701, 1751553377.5160232, 1751553377.6156044, 1751553377.7120416, 1751553377.8091862, 1751553377.9091594, 1751553378.0099556, 1751553378.1123424, 1751553378.2112346, 1751553378.3130028, 1751553378.4150949, 1751553378.516414, 1751553378.6165729, 1751553378.7189867, 1751553378.8199172, 1751553378.9207962, 1751553379.0222132, 1751553379.1240234, 1751553379.2234206, 1751553379.324734, 1751553379.4242997, 1751553379.5261505, 1751553379.6269395, 1751553379.727587, 1751553379.828359, 1751553379.9296901, 1751553380.033877, 1751553380.1382544, 1751553380.242229]"
1303,304,999,"[1751553380.6666315, 1751553380.767426, 1751553380.7685733, 1751553380.9264038, 1751553381.0125055, 1751553381.0979776, 1751553381.1893435, 1751553381.281889, 1751553381.372243, 1751553381.4625807, 1751553381.5524073, 1751553381.642521, 1751553381.7333078, 1751553381.8249352, 1751553381.914533, 1751553382.0039623, 1751553382.0931423, 1751553382.2043104, 1751553382.2934372, 1751553382.3810906, 1751553382.4712677, 1751553382.5631359, 1751553382.6535208, 1751553382.7456234, 1751553382.8351378, 1751553382.9285421, 1751553383.0203352, 1751553383.1106691, 1751553383.1992111, 1751553383.290042, 1751553383.3812382, 1751553383.4718533, 1751553383.5660362, 1751553383.6608462, 1751553383.7534685, 1751553383.8457909, 1751553383.9352343, 1751553384.0258102]"
1559,424,1135,"[1751553384.4011388, 1751553384.5158577, 1751553384.5173686, 1751553384.7206268, 1751553384.8112895, 1751553384.902084, 1751553384.993859, 1751553385.0850506, 1751553385.1757655, 1751553385.266861, 1751553385.3566124, 1751553385.4470606, 1751553385.5365098, 1751553385.628151, 1751553385.7201684, 1751553385.8119109, 1751553385.9024696, 1751553385.9932861, 1751553386.082688, 1751553386.1743617, 1751553386.2660658, 1751553386.3568225, 1751553386.4479685, 1751553386.5400558, 1751553386.6299813, 1751553386.7212641, 1751553386.8101912, 1751553386.8980389, 1751553386.9917476, 1751553387.0852697, 1751553387.176503, 1751553387.270336, 1751553387.3644495, 1751553387.457211, 1751553387.5469685, 1751553387.6394544, 1751553387.7308881, 1751553387.8224902, 1751553387.914584, 1751553388.0119174, 1751553388.1069381, 1751553388.2031295, 1751553388.29726, 1751553388.3904629, 1751553388.4865932, 1751553388.5820942, 1751553388.6777697, 1751553388.7734025, 1751553388.8702643, 1751553388.9667003, 1751553389.064786, 1751553389.1613572, 1751553389.2564185]"
1375,320,1055,"[1751553389.6465132, 1751553389.7513292, 1751553389.7522573, 1751553389.9618127, 1751553390.0520287, 1751553390.142528, 1751553390.2331622, 1751553390.3264983, 1751553390.4153945, 1751553390.503793, 1751553390.5936296, 1751553390.683706, 1751553390.7701452, 1751553390.859731, 1751553390.9507043, 1751553391.0421817, 1751553391.134251, 1751553391.2254944, 1751553391.316621, 1751553391.4075494, 1751553391.4980047, 1751553391.5889688, 1751553391.6796546, 1751553391.7705896, 1751553391.861168, 1751553391.9524512, 1751553392.043048, 1751553392.1334763, 1751553392.2231095, 1751553392.313779, 1751553392.405178, 1751553392.4936254, 1751553392.587078, 1751553392.677914, 1751553392.768544, 1751553392.8608816, 1751553392.9508204, 1751553393.0405748, 1751553393.1294909, 1751553393.221244]"
