model,dataset,beam,avg_ratio
LLAMA3,CNN,3,0.6026621176656621
LLAMA3,CNN,9,0.8481329491011463
LLAMA3,GSM8K,3,0.10143699727050684
LLAMA3,GSM8K,15,0.3781043404861516
LLAMA3,GSM8K,9,nan
LLAMA3,HUMAN_EVAL,3,0.3307915172152999
LLAMA3,HUMAN_EVAL,15,0.7879590655606349
LLAMA3,HUMAN_EVAL,9,0.7260790693896514
MISTRAL,CNN,3,0.8786459281128725
MISTRAL,CNN,6,0.8867835250108921
MISTRAL,GSM8K,3,0.039421775758782286
MISTRAL,GSM8K,6,nan
MISTRAL,HUMAN_EVAL,3,0.9473044834849355
MISTRAL,HUMAN_EVAL,6,0.9352788680461813
MISTRAL,WMT,3,0.01197520069067745
MISTRAL,WMT,6,0.026568977510981667
PHI35,CNN,3,0.6845578991819403
PHI35,CNN,9,nan
PHI35,GSM8K,3,0.6507049113885033
PHI35,GSM8K,15,0.8100419159484418
PHI35,GSM8K,9,0.7860038424489284
PHI35,HUMAN_EVAL,3,0.4879739182130831
PHI35,HUMAN_EVAL,15,0.7842506154951776
PHI35,HUMAN_EVAL,9,0.698224473917833
PHI35,WMT,3,0.14508394591876173
PHI35,WMT,15,0.43732905631253505
PHI35,WMT,9,0.3242267397196913
