model,dataset,beam,samples,metric,origin_mean,tree_mean,margin,verdict,p_value,test,ci_lower,ci_upper
LLAMA3,HUMAN_EVAL,3,1000,mem_per_token,1.0064143923140296,0.7688367059375317,0.012543038544555407,better,6.764263149531264e-82,paired t-test,-0.2501207249210533,-0.2250346478319425
LLAMA3,HUMAN_EVAL,3,1000,tok_per_sec,4.979500922817475,5.194783456305851,0.05103646393689784,better,3.162205119266559e-14,paired t-test,0.1642460695514784,0.2663189974252741
LLAMA3,HUMAN_EVAL,3,1000,score,0.6463414634146342,0.6463414634146342,48561.66620364741,no_sig,0.4795001221869533,McNemar test,367.42176531509153,97490.7541726099
LLAMA3,HUMAN_EVAL,15,1000,mem_per_token,4.3524673317494695,1.1003129850832798,0.03932313109534391,better,1.4251706684188331e-182,paired t-test,-3.291477477761533,-3.212831215570845
LLAMA3,HUMAN_EVAL,15,1000,tok_per_sec,4.038392604393474,4.49794707130757,0.12437466981464929,better,1.2274817226198762e-11,paired t-test,0.3351797970994471,0.5839291367287457
LLAMA3,HUMAN_EVAL,15,1000,score,0.6463414634146342,0.6463414634146342,,no_sig,1.0,McNemar test,,
LLAMA3,HUMAN_EVAL,1,1000,mem_per_token,0.4514304231800179,,,n/a,,paired t-test,,
LLAMA3,HUMAN_EVAL,1,1000,tok_per_sec,5.612726224727426,,,n/a,,paired t-test,,
LLAMA3,HUMAN_EVAL,1,1000,score,0.6036585365853658,,,n/a,,paired t-test,,
LLAMA3,HUMAN_EVAL,9,1000,mem_per_token,2.6714047697687677,0.8852803331972986,0.021440031296320328,better,4.3787445061935005e-183,paired t-test,-1.80756446786779,-1.7646844052751494
LLAMA3,HUMAN_EVAL,9,1000,tok_per_sec,4.413695450161608,4.839152421660478,0.09394288729020608,better,7.967812921424662e-16,paired t-test,0.3315140842086642,0.5193998587890764
LLAMA3,HUMAN_EVAL,9,1000,score,0.6585365853658537,0.6524390243902439,181172.00325666933,no_sig,1.0,McNemar test,395.9207278125824,362739.9272411512
LLAMA3,CNN,3,1000,mem_per_token,0.8493059642191554,0.7302446622612548,0.014450698066149147,better,7.013728602943514e-30,paired t-test,-0.1335120000240497,-0.1046106038917514
LLAMA3,CNN,3,1000,tok_per_sec,4.4524359040238615,4.771705400799331,0.11807880391384473,better,5.325304267554456e-07,paired t-test,0.2011906928616246,0.4373483006893141
LLAMA3,CNN,3,1000,score,0.20526811029,0.2046622861848422,0.0027286597821323,no_sig,0.6605057745600679,paired t-test,-0.0033344838872901,0.0021228356769745
LLAMA3,CNN,1,1000,mem_per_token,0.3174838592602933,,,n/a,,paired t-test,,
LLAMA3,CNN,1,1000,tok_per_sec,5.317202830082927,,,n/a,,paired t-test,,
LLAMA3,CNN,1,1000,score,0.2014998458010466,,,n/a,,paired t-test,,
LLAMA3,CNN,9,1000,mem_per_token,2.446780973984861,0.720911202944437,0.013956820255422997,better,1.1501037119310883e-139,paired t-test,-1.739826591295847,-1.711912950785001
LLAMA3,CNN,9,1000,tok_per_sec,3.685461874776616,4.2967072803192785,0.22651991197671528,better,5.578046412447823e-07,paired t-test,0.384725493565947,0.8377653175193776
LLAMA3,CNN,9,1000,score,0.2042441462285242,0.2040195639449828,0.0028474967843560997,no_sig,0.8759612851487206,paired t-test,-0.0030720790678975,0.0026229145008147
PHI35,WMT,3,1000,mem_per_token,3.44235056488003,1.5000255020445978,0.11477712331992995,better,6.5471801069048045e-56,paired t-test,-2.0571021861553622,-1.8275479395155023
PHI35,WMT,3,1000,tok_per_sec,17.243085696724805,17.06655466828713,0.06849014465853075,worse,1.5421523006938375e-06,paired t-test,-0.245021173096209,-0.1080408837791475
PHI35,WMT,3,1000,score,0.4918340294932138,0.4926965385766699,0.0016675452282113,no_sig,0.3072503266557845,paired t-test,-0.0008050361447553,0.0025300543116673
PHI35,WMT,15,1000,mem_per_token,16.909739194885795,3.99923790229924,0.8481746150116871,better,9.316794138737964e-52,paired t-test,-13.75867590759824,-12.062326677574866
PHI35,WMT,15,1000,tok_per_sec,14.198724531991338,13.896459307982251,0.1006868104700118,worse,3.945691904231867e-08,paired t-test,-0.4029520344790974,-0.2015784135390738
PHI35,WMT,15,1000,score,0.4886391984985948,0.4909690869437235,0.00499478161431525,no_sig,0.3569218706034033,paired t-test,-0.0026648931691865,0.007324670059444
PHI35,WMT,1,1000,mem_per_token,1.163183892718354,,,n/a,,paired t-test,,
PHI35,WMT,1,1000,tok_per_sec,18.332435746305713,,,n/a,,paired t-test,,
PHI35,WMT,1,1000,score,0.4855835773015344,,,n/a,,paired t-test,,
PHI35,WMT,9,1000,mem_per_token,9.995797975102429,2.7037607095691976,0.42939674895605506,better,4.755965013623831e-56,paired t-test,-7.721434014489287,-6.862640516577176
PHI35,WMT,9,1000,tok_per_sec,14.812271199124384,14.522050383603371,0.06745392727937215,worse,1.6737625071645624e-13,paired t-test,-0.3576747428003812,-0.2227668882416369
PHI35,WMT,9,1000,score,0.4921921629650535,0.491335031794476,0.0014654666698475502,no_sig,0.248619514877377,paired t-test,-0.0023225978404251,0.00060833549927
PHI35,HUMAN_EVAL,3,1000,mem_per_token,3.2319745421176176,1.3427012645810172,0.07240343982840003,better,8.568801186366102e-103,paired t-test,-1.9616767173650005,-1.8168698377082004
PHI35,HUMAN_EVAL,3,1000,tok_per_sec,12.815044334834656,12.627493620582552,0.11541624344504534,worse,0.0016053786805244,paired t-test,-0.302966957697149,-0.0721344708070583
PHI35,HUMAN_EVAL,3,1000,score,0.6890243902439024,0.6890243902439024,,no_sig,1.0,McNemar test,,
PHI35,HUMAN_EVAL,15,1000,mem_per_token,15.973740261640692,3.1421778360486368,0.46470876424770324,better,1.4043242279702466e-106,paired t-test,-13.29627118983976,-12.366853661344354
PHI35,HUMAN_EVAL,15,1000,tok_per_sec,9.84572839714611,9.87332623897343,0.13687601349939396,no_sig,0.6910503325462187,paired t-test,-0.1092781716720748,0.1644738553267131
PHI35,HUMAN_EVAL,15,1000,score,0.7012195121951219,0.7012195121951219,44477.41767446585,no_sig,0.4795001221869533,McNemar test,335.3424167055845,89290.17776563727
PHI35,HUMAN_EVAL,1,1000,mem_per_token,1.1088588563305362,,,n/a,,paired t-test,,
PHI35,HUMAN_EVAL,1,1000,tok_per_sec,13.78979342357431,,,n/a,,paired t-test,,
PHI35,HUMAN_EVAL,1,1000,score,0.6463414634146342,,,n/a,,paired t-test,,
PHI35,HUMAN_EVAL,9,1000,mem_per_token,9.634383216581696,2.248039962632779,0.28506593936133395,better,2.5206657179536727e-102,paired t-test,-7.67140919331025,-7.101277314587582
PHI35,HUMAN_EVAL,9,1000,tok_per_sec,10.88643179066155,10.732612079303976,0.11237955249837821,worse,0.0076050035066098,paired t-test,-0.2661992638559537,-0.0414401588591973
